Attrition,Employee Attrition Status,Business Travel,Department,Education Field,emp no,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Age Group,Daily Rate,Distance From Home,Education,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,0,Travel_Rarely,R&D,Medical,STAFF-258,Male,Research Director,Divorced,No,5,40,36-45,"$1,416.00 ",2,Associates Degree,1,49,3,5,3,"$19,436.00 ","$5,949.00 ",0,19,3,4,1,22,3,21,7,3,9
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-259,Male,Research Scientist,Married,No,0,51,46-55,$833.00 ,1,Bachelor's Degree,3,96,3,1,4,"$2,723.00 ","$23,231.00 ",1,11,3,2,0,1,2,1,0,0,0
Yes,1,Travel_Frequently,R&D,Medical,STAFF-260,Male,Laboratory Technician,Single,No,2,31,26-35,$307.00 ,29,Associates Degree,3,71,2,1,2,"$3,479.00 ","$11,652.00 ",0,11,3,2,0,6,4,5,4,1,4
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-261,Male,Laboratory Technician,Married,No,3,32,26-35,"$1,311.00 ",7,Bachelor's Degree,2,100,4,1,2,"$2,794.00 ","$26,062.00 ",1,20,4,3,0,5,1,5,1,0,3
No,0,Non-Travel,Sales,Life Sciences,STAFF-262,Male,Sales Executive,Married,No,0,38,36-45,"$1,327.00 ",2,Associates Degree,4,39,2,2,4,"$5,249.00 ","$19,682.00 ",3,18,3,4,1,13,3,8,7,7,5
No,0,Travel_Rarely,R&D,Technical Degree,STAFF-263,Male,Laboratory Technician,Single,No,5,32,26-35,$128.00 ,2,High School,4,84,2,2,1,"$2,176.00 ","$19,737.00 ",4,13,3,4,0,9,3,6,2,0,4
No,0,Travel_Rarely,Sales,Technical Degree,STAFF-264,Female,Manager,Married,Yes,2,46,46-55,$488.00 ,2,Bachelor's Degree,3,75,1,4,2,"$16,872.00 ","$14,977.00 ",3,12,3,2,1,28,2,7,7,7,7
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-265,Male,Laboratory Technician,Single,No,5,28,26-35,$529.00 ,2,Master's Degree,1,79,3,1,3,"$3,485.00 ","$14,935.00 ",2,11,3,3,0,5,1,0,0,0,0
No,0,Travel_Rarely,Sales,Medical,STAFF-266,Male,Sales Executive,Married,No,2,29,26-35,"$1,210.00 ",2,Bachelor's Degree,1,78,2,2,2,"$6,644.00 ","$3,687.00 ",2,19,3,2,2,10,3,0,0,0,0
No,0,Travel_Rarely,R&D,Medical,STAFF-267,Male,Healthcare Representative,Married,No,2,31,26-35,"$1,463.00 ",23,Bachelor's Degree,2,64,2,2,4,"$5,582.00 ","$14,408.00 ",0,21,4,2,1,10,3,9,0,7,8
No,0,Non-Travel,R&D,Life Sciences,STAFF-268,Male,Healthcare Representative,Divorced,No,2,25,18-25,$675.00 ,5,Associates Degree,2,85,4,2,1,"$4,000.00 ","$18,384.00 ",1,12,3,4,2,6,3,6,3,1,5
No,0,Travel_Rarely,R&D,Medical,STAFF-269,Male,Healthcare Representative,Married,Yes,2,45,36-45,"$1,385.00 ",20,Associates Degree,3,79,3,4,4,"$13,496.00 ","$7,501.00 ",0,14,3,2,0,21,3,20,7,4,10
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-270,Male,Laboratory Technician,Married,No,4,36,36-45,"$1,403.00 ",6,Bachelor's Degree,4,47,3,1,4,"$3,210.00 ","$20,251.00 ",0,11,3,3,1,16,3,15,13,10,11
No,0,Travel_Rarely,R&D,Medical,STAFF-271,Male,Manager,Single,Yes,2,55,46-55,$452.00 ,1,Bachelor's Degree,4,81,3,5,1,"$19,045.00 ","$18,938.00 ",0,14,3,3,0,37,3,36,10,4,13
Yes,1,Non-Travel,R&D,Life Sciences,STAFF-272,Male,Manager,Married,Yes,2,47,46-55,$666.00 ,29,Master's Degree,1,88,3,3,2,"$11,849.00 ","$10,268.00 ",1,12,3,4,1,10,2,10,7,9,9
No,0,Travel_Rarely,R&D,Medical,STAFF-273,Male,Research Scientist,Married,No,3,28,26-35,"$1,158.00 ",9,Bachelor's Degree,4,94,3,1,4,"$2,070.00 ","$2,613.00 ",1,23,4,4,1,5,2,5,2,0,4
No,0,Travel_Rarely,Sales,Medical,STAFF-274,Male,Sales Executive,Married,No,5,37,36-45,$228.00 ,6,Master's Degree,3,98,3,2,4,"$6,502.00 ","$22,825.00 ",4,14,3,2,1,7,4,5,4,0,1
No,0,Travel_Rarely,R&D,Medical,STAFF-275,Male,Research Scientist,Single,No,4,21,18-25,$996.00 ,3,Associates Degree,4,100,2,1,3,"$3,230.00 ","$10,531.00 ",1,17,3,1,0,3,4,3,2,1,0
No,0,Non-Travel,R&D,Medical,STAFF-276,Female,Research Director,Divorced,Yes,2,37,36-45,$728.00 ,1,Master's Degree,1,80,3,3,4,"$13,603.00 ","$11,677.00 ",2,18,3,1,2,15,3,5,2,0,2
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-277,Female,Manager,Divorced,No,6,35,26-35,"$1,315.00 ",22,Bachelor's Degree,2,71,4,3,2,"$11,996.00 ","$19,100.00 ",7,18,3,2,1,10,2,7,7,6,2
No,0,Travel_Rarely,Sales,Medical,STAFF-278,Female,Sales Executive,Divorced,Yes,3,38,36-45,$322.00 ,7,Associates Degree,1,44,4,2,1,"$5,605.00 ","$19,191.00 ",1,24,4,3,1,8,3,8,0,7,7
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-279,Female,Manufacturing Director,Divorced,No,6,26,26-35,"$1,479.00 ",1,Bachelor's Degree,3,84,3,2,2,"$6,397.00 ","$26,767.00 ",1,20,4,1,1,6,1,6,5,1,4
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-280,Male,Research Director,Divorced,No,4,50,46-55,$797.00 ,4,High School,1,96,3,5,2,"$19,144.00 ","$15,815.00 ",3,14,3,1,2,28,2,10,4,1,6
No,0,Travel_Rarely,R&D,Medical,STAFF-281,Male,Research Director,Married,Yes,5,53,46-55,"$1,070.00 ",3,Master's Degree,3,45,3,4,3,"$17,584.00 ","$21,016.00 ",3,16,3,4,3,21,2,5,3,1,3
No,0,Travel_Rarely,Sales,Life Sciences,STAFF-282,Male,Sales Executive,Married,No,3,42,36-45,$635.00 ,1,High School,2,99,3,2,3,"$4,907.00 ","$24,532.00 ",1,25,4,3,0,20,3,20,16,11,6
No,0,Travel_Frequently,Sales,Life Sciences,STAFF-283,Male,Sales Executive,Single,No,3,29,26-35,$442.00 ,2,Associates Degree,2,44,3,2,4,"$4,554.00 ","$20,260.00 ",1,18,3,1,0,10,2,10,7,0,9
No,0,Travel_Rarely,R&D,Technical Degree,STAFF-284,Male,Laboratory Technician,Married,Yes,4,55,46-55,$147.00 ,20,Associates Degree,2,37,3,2,4,"$5,415.00 ","$15,972.00 ",3,19,3,4,1,12,3,10,7,0,8
No,0,Travel_Frequently,R&D,Medical,STAFF-285,Male,Healthcare Representative,Married,Yes,3,26,26-35,$496.00 ,11,Associates Degree,1,60,3,2,1,"$4,741.00 ","$22,722.00 ",1,13,3,3,1,5,3,5,3,3,3
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-286,Female,Research Scientist,Single,No,3,37,36-45,"$1,372.00 ",1,Bachelor's Degree,4,42,3,1,4,"$2,115.00 ","$15,881.00 ",1,12,3,2,0,17,3,17,12,5,7
Yes,1,Travel_Frequently,R&D,Life Sciences,STAFF-287,Male,Laboratory Technician,Divorced,Yes,0,44,36-45,$920.00 ,24,Bachelor's Degree,4,43,3,1,3,"$3,161.00 ","$19,920.00 ",3,22,4,4,1,19,1,1,0,0,0
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-288,Male,Healthcare Representative,Divorced,No,2,38,36-45,$688.00 ,23,Master's Degree,4,82,3,2,4,"$5,745.00 ","$18,899.00 ",9,14,3,2,1,10,3,2,2,1,2
Yes,1,Travel_Rarely,R&D,Medical,STAFF-289,Male,Laboratory Technician,Divorced,Yes,2,26,26-35,"$1,449.00 ",16,Master's Degree,1,45,3,1,2,"$2,373.00 ","$14,180.00 ",2,13,3,4,1,5,3,3,2,0,2
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-290,Female,Research Scientist,Single,No,3,28,26-35,"$1,117.00 ",8,Associates Degree,4,66,3,1,4,"$3,310.00 ","$4,488.00 ",1,21,4,4,0,5,3,5,3,0,2
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-291,Female,Research Director,Single,Yes,4,49,46-55,$636.00 ,10,Master's Degree,3,35,3,5,1,"$18,665.00 ","$25,594.00 ",9,11,3,4,0,22,3,3,2,1,2
No,0,Travel_Rarely,R&D,Technical Degree,STAFF-292,Male,Research Scientist,Single,No,2,36,36-45,$506.00 ,3,Bachelor's Degree,3,30,3,2,2,"$4,485.00 ","$26,285.00 ",4,12,3,4,0,10,3,8,0,7,7
No,0,Travel_Frequently,Sales,Marketing,STAFF-293,Female,Sales Representative,Divorced,No,5,31,26-35,$444.00 ,5,Bachelor's Degree,4,84,3,1,2,"$2,789.00 ","$3,909.00 ",1,11,3,3,1,2,2,2,2,2,2
Yes,1,Travel_Rarely,Sales,Marketing,STAFF-294,Male,Sales Executive,Single,Yes,0,26,26-35,$950.00 ,4,Master's Degree,4,48,2,2,4,"$5,828.00 ","$8,450.00 ",1,12,3,2,0,8,3,8,7,7,4
No,0,Travel_Frequently,R&D,Medical,STAFF-295,Male,Research Scientist,Married,Yes,3,37,36-45,$889.00 ,9,Bachelor's Degree,2,53,3,1,4,"$2,326.00 ","$11,411.00 ",1,12,3,3,3,4,2,4,2,1,2
No,0,Travel_Frequently,Sales,Marketing,STAFF-296,Female,Sales Executive,Married,No,2,42,36-45,$555.00 ,26,Bachelor's Degree,3,77,3,4,2,"$13,525.00 ","$14,864.00 ",5,14,3,4,1,23,4,20,4,4,8
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-297,Male,Laboratory Technician,Single,No,2,18,18-25,$230.00 ,3,Bachelor's Degree,3,54,3,1,3,"$1,420.00 ","$25,233.00 ",1,13,3,3,0,0,3,0,0,0,0
No,0,Travel_Rarely,Sales,Marketing,STAFF-298,Male,Sales Executive,Married,No,3,35,26-35,"$1,232.00 ",16,Bachelor's Degree,3,96,3,3,2,"$8,020.00 ","$5,100.00 ",0,15,3,3,2,12,2,11,9,6,9
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-299,Male,Laboratory Technician,Married,No,2,36,36-45,$566.00 ,18,Master's Degree,3,81,4,1,4,"$3,688.00 ","$7,122.00 ",4,18,3,4,2,4,3,1,0,0,0
No,0,Travel_Rarely,R&D,Medical,STAFF-300,Male,Manufacturing Director,Divorced,No,3,51,46-55,"$1,302.00 ",2,Bachelor's Degree,4,84,1,2,2,"$5,482.00 ","$16,321.00 ",5,18,3,4,1,13,3,4,1,1,2
No,0,Travel_Rarely,Sales,Life Sciences,STAFF-301,Male,Manager,Single,No,2,41,36-45,$334.00 ,2,Master's Degree,4,88,3,4,2,"$16,015.00 ","$15,896.00 ",1,19,3,2,0,22,3,22,10,0,4
No,0,Travel_Rarely,Sales,Medical,STAFF-302,Female,Sales Representative,Single,No,2,18,18-25,$812.00 ,10,Bachelor's Degree,4,69,2,1,3,"$1,200.00 ","$9,724.00 ",1,12,3,1,0,0,3,0,0,0,0
No,0,Travel_Rarely,R&D,Medical,STAFF-303,Male,Healthcare Representative,Single,No,2,28,26-35,"$1,476.00 ",16,Associates Degree,2,68,4,2,1,"$5,661.00 ","$4,824.00 ",0,19,3,3,0,9,3,8,3,0,7
No,0,Travel_Rarely,Sales,Technical Degree,STAFF-304,Male,Sales Executive,Married,No,3,31,26-35,$218.00 ,7,Bachelor's Degree,2,100,4,2,4,"$6,929.00 ","$12,241.00 ",4,11,3,2,1,10,2,8,7,7,7
No,0,Travel_Rarely,R&D,Medical,STAFF-305,Male,Healthcare Representative,Divorced,No,5,39,36-45,"$1,132.00 ",1,Bachelor's Degree,3,48,4,3,4,"$9,613.00 ","$10,942.00 ",0,17,3,1,3,19,2,18,10,3,7
No,0,Non-Travel,R&D,Life Sciences,STAFF-306,Female,Laboratory Technician,Married,No,3,36,36-45,"$1,105.00 ",24,Master's Degree,2,47,3,2,2,"$5,674.00 ","$6,927.00 ",7,15,3,3,1,11,3,9,8,0,8
No,0,Travel_Rarely,Sales,Life Sciences,STAFF-307,Male,Sales Executive,Married,No,3,32,26-35,$906.00 ,7,Bachelor's Degree,4,91,2,2,3,"$5,484.00 ","$16,985.00 ",1,14,3,3,1,13,2,13,8,4,8
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-308,Female,Research Director,Married,No,2,38,36-45,$849.00 ,25,Associates Degree,1,81,2,3,2,"$12,061.00 ","$26,707.00 ",3,17,3,3,1,19,3,10,8,0,1
No,0,Non-Travel,R&D,Life Sciences,STAFF-309,Male,Healthcare Representative,Divorced,Yes,2,58,56-65,$390.00 ,1,Master's Degree,4,32,1,2,3,"$5,660.00 ","$17,056.00 ",2,13,3,4,1,12,3,5,3,1,2
No,0,Travel_Rarely,R&D,Technical Degree,STAFF-310,Male,Research Scientist,Married,Yes,4,31,26-35,$691.00 ,5,Master's Degree,3,86,3,1,4,"$4,821.00 ","$10,077.00 ",0,12,3,3,1,6,3,5,2,0,3
No,0,Travel_Rarely,HR,Human Resources,STAFF-311,Male,Human Resources,Married,No,1,31,26-35,$106.00 ,2,Bachelor's Degree,1,62,2,2,1,"$6,410.00 ","$17,822.00 ",3,12,3,4,0,9,3,2,2,1,0
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-312,Male,Laboratory Technician,Divorced,No,2,45,36-45,"$1,249.00 ",7,Bachelor's Degree,1,97,3,3,1,"$5,210.00 ","$20,308.00 ",1,18,3,1,1,24,3,24,9,9,11
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-313,Male,Research Scientist,Divorced,Yes,2,31,26-35,$192.00 ,2,Master's Degree,3,32,3,1,4,"$2,695.00 ","$7,747.00 ",0,18,3,2,1,3,1,2,2,2,2
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-314,Female,Manager,Married,No,2,33,26-35,$553.00 ,5,Master's Degree,4,74,3,3,2,"$11,878.00 ","$23,364.00 ",6,11,3,2,2,12,3,10,6,8,8
No,0,Travel_Rarely,R&D,Medical,STAFF-315,Male,Manager,Married,Yes,3,39,36-45,$117.00 ,10,High School,3,99,3,4,1,"$17,068.00 ","$5,355.00 ",1,14,3,4,0,21,3,21,9,11,10
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-316,Female,Laboratory Technician,Single,No,5,43,36-45,$185.00 ,10,Master's Degree,3,33,3,1,4,"$2,455.00 ","$10,675.00 ",0,19,3,1,0,9,3,8,7,1,7
No,0,Travel_Rarely,R&D,Technical Degree,STAFF-317,Female,Healthcare Representative,Single,Yes,2,49,46-55,"$1,091.00 ",1,Associates Degree,3,90,2,4,3,"$13,964.00 ","$17,810.00 ",7,12,3,4,0,25,3,7,1,0,7
Yes,1,Travel_Rarely,R&D,Medical,STAFF-318,Male,Research Scientist,Married,No,3,52,46-55,$723.00 ,8,Master's Degree,3,85,2,2,2,"$4,941.00 ","$17,747.00 ",2,15,3,1,0,11,2,8,2,7,7
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-319,Female,Research Scientist,Single,Yes,2,27,26-35,"$1,220.00 ",5,Bachelor's Degree,3,85,3,1,2,"$2,478.00 ","$20,938.00 ",1,12,3,2,0,4,2,4,3,1,2
No,0,Travel_Rarely,Sales,Technical Degree,STAFF-320,Female,Sales Executive,Married,Yes,2,32,26-35,$588.00 ,8,Associates Degree,3,65,2,2,2,"$5,228.00 ","$24,624.00 ",1,11,3,4,0,13,3,13,12,11,9
No,0,Travel_Rarely,Sales,Life Sciences,STAFF-321,Male,Sales Executive,Single,Yes,3,27,26-35,"$1,377.00 ",2,Bachelor's Degree,4,74,3,2,3,"$4,478.00 ","$5,242.00 ",1,11,3,1,0,5,3,5,4,0,4
No,0,Travel_Rarely,Sales,Marketing,STAFF-322,Male,Sales Executive,Divorced,No,3,31,26-35,$691.00 ,7,Bachelor's Degree,4,73,3,2,4,"$7,547.00 ","$7,143.00 ",4,12,3,4,3,13,3,7,7,1,7
No,0,Travel_Rarely,R&D,Medical,STAFF-323,Female,Research Scientist,Single,No,0,32,26-35,"$1,018.00 ",2,Master's Degree,1,74,4,2,4,"$5,055.00 ","$10,557.00 ",7,16,3,3,0,10,2,7,7,0,7
Yes,1,Travel_Rarely,R&D,Medical,STAFF-324,Male,Research Scientist,Married,Yes,4,28,26-35,"$1,157.00 ",2,Master's Degree,1,84,1,1,4,"$3,464.00 ","$24,737.00 ",5,13,3,4,0,5,2,3,2,2,2
No,0,Travel_Rarely,R&D,Medical,STAFF-325,Female,Research Scientist,Married,No,2,30,26-35,"$1,275.00 ",28,Associates Degree,4,64,3,2,4,"$5,775.00 ","$11,934.00 ",1,13,3,4,2,11,3,10,8,1,9
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-326,Female,Manufacturing Director,Married,No,2,31,26-35,$798.00 ,7,Associates Degree,3,48,2,3,3,"$8,943.00 ","$14,034.00 ",1,24,4,1,1,10,3,10,9,8,9
No,0,Travel_Frequently,R&D,Medical,STAFF-327,Male,Manager,Married,No,2,39,36-45,$672.00 ,7,Associates Degree,3,54,2,5,4,"$19,272.00 ","$21,141.00 ",1,15,3,1,1,21,3,21,9,13,3
Yes,1,Travel_Rarely,Sales,Medical,STAFF-328,Female,Sales Executive,Married,Yes,3,39,36-45,"$1,162.00 ",3,Associates Degree,4,41,3,2,3,"$5,238.00 ","$17,778.00 ",4,18,3,1,0,12,2,1,0,0,0
No,0,Travel_Frequently,Sales,Marketing,STAFF-329,Male,Sales Executive,Single,No,6,33,26-35,$508.00 ,10,Bachelor's Degree,2,46,2,2,4,"$4,682.00 ","$4,317.00 ",3,14,3,3,0,9,2,7,7,0,1
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-330,Male,Research Director,Married,No,2,47,46-55,"$1,482.00 ",5,Doctoral Degree,4,42,3,5,3,"$18,300.00 ","$16,375.00 ",4,11,3,2,1,21,3,3,2,1,1
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-331,Female,Laboratory Technician,Divorced,No,3,43,36-45,$559.00 ,10,Master's Degree,3,82,2,2,3,"$5,257.00 ","$6,227.00 ",1,11,3,2,1,9,4,9,7,0,0
No,0,Non-Travel,Sales,Marketing,STAFF-332,Male,Sales Executive,Married,Yes,0,27,26-35,$210.00 ,1,High School,3,73,3,2,2,"$6,349.00 ","$22,107.00 ",0,13,3,4,1,6,3,5,4,1,4
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-333,Female,Research Scientist,Single,No,4,54,46-55,$928.00 ,20,Master's Degree,4,31,3,2,3,"$4,869.00 ","$16,885.00 ",3,12,3,4,0,20,2,4,3,0,3
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-334,Female,Healthcare Representative,Married,No,1,43,36-45,"$1,001.00 ",7,Bachelor's Degree,3,43,3,3,1,"$9,985.00 ","$9,262.00 ",8,16,3,1,1,10,2,1,0,0,0
No,0,Travel_Rarely,R&D,Other,STAFF-335,Male,Research Scientist,Married,No,3,45,36-45,$549.00 ,8,Master's Degree,4,75,3,2,4,"$3,697.00 ","$9,278.00 ",9,14,3,1,2,12,3,10,9,9,8
No,0,Travel_Rarely,Sales,Medical,STAFF-336,Male,Sales Executive,Married,Yes,2,40,36-45,"$1,124.00 ",1,Associates Degree,2,57,1,2,4,"$7,457.00 ","$13,273.00 ",2,22,4,3,3,6,2,4,3,0,2
Yes,1,Travel_Rarely,R&D,Other,STAFF-337,Male,Laboratory Technician,Married,Yes,4,29,26-35,$318.00 ,8,Master's Degree,2,77,1,1,1,"$2,119.00 ","$4,759.00 ",1,11,3,4,0,7,2,7,7,0,7
No,0,Travel_Rarely,R&D,Other,STAFF-338,Male,Laboratory Technician,Single,No,2,29,26-35,$738.00 ,9,Doctoral Degree,2,30,2,1,4,"$3,983.00 ","$7,621.00 ",0,17,3,3,0,4,3,3,2,2,2
No,0,Travel_Rarely,Sales,Marketing,STAFF-339,Female,Sales Executive,Divorced,No,2,30,26-35,$570.00 ,5,Bachelor's Degree,4,30,2,2,3,"$6,118.00 ","$5,431.00 ",1,13,3,3,3,10,3,10,9,1,2
No,0,Travel_Rarely,Sales,Marketing,STAFF-340,Female,Sales Executive,Married,No,3,27,26-35,"$1,130.00 ",8,Master's Degree,2,56,3,2,2,"$6,214.00 ","$3,415.00 ",1,18,3,1,1,8,3,8,7,0,7
No,0,Travel_Rarely,R&D,Medical,STAFF-341,Male,Manufacturing Director,Divorced,No,2,37,36-45,"$1,192.00 ",5,Associates Degree,4,61,3,2,4,"$6,347.00 ","$23,177.00 ",7,16,3,3,2,8,2,6,2,0,4
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-342,Male,Research Director,Divorced,Yes,3,38,36-45,$343.00 ,15,Associates Degree,3,92,2,3,4,"$11,510.00 ","$15,682.00 ",0,14,3,2,1,12,3,11,10,2,9
No,0,Travel_Rarely,R&D,Medical,STAFF-343,Female,Manufacturing Director,Single,Yes,2,31,26-35,"$1,232.00 ",7,Master's Degree,3,39,3,3,4,"$7,143.00 ","$25,713.00 ",1,14,3,3,0,11,2,11,9,4,10
No,0,Travel_Rarely,Sales,Marketing,STAFF-344,Female,Sales Executive,Divorced,Yes,2,29,26-35,$144.00 ,10,High School,4,39,2,2,2,"$8,268.00 ","$11,866.00 ",1,14,3,1,2,7,3,7,7,1,7
No,0,Travel_Rarely,R&D,Technical Degree,STAFF-345,Male,Manufacturing Director,Single,No,5,35,26-35,"$1,296.00 ",5,Master's Degree,3,62,3,3,2,"$8,095.00 ","$18,264.00 ",0,13,3,4,0,17,3,16,6,0,13
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-346,Male,Research Scientist,Divorced,No,2,23,18-25,"$1,309.00 ",26,High School,3,83,3,1,4,"$2,904.00 ","$16,092.00 ",1,12,3,3,2,4,2,4,2,0,2
No,0,Travel_Rarely,R&D,Medical,STAFF-347,Male,Manufacturing Director,Single,Yes,3,41,36-45,$483.00 ,6,Bachelor's Degree,4,95,2,2,2,"$6,032.00 ","$10,110.00 ",6,15,3,4,0,8,3,5,4,1,2
No,0,Travel_Frequently,Sales,Medical,STAFF-348,Male,Sales Representative,Single,No,3,47,46-55,"$1,309.00 ",4,High School,2,99,3,2,3,"$2,976.00 ","$25,751.00 ",3,19,3,1,0,5,3,0,0,0,0
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-349,Female,Research Director,Single,No,2,42,36-45,$810.00 ,23,Doctoral Degree,1,44,3,4,4,"$15,992.00 ","$15,901.00 ",2,14,3,2,0,16,3,1,0,0,0
No,0,Non-Travel,Sales,Life Sciences,STAFF-350,Male,Sales Executive,Married,No,3,29,26-35,$746.00 ,2,Bachelor's Degree,4,61,3,2,3,"$4,649.00 ","$16,928.00 ",1,14,3,1,1,4,2,4,3,0,2
No,0,Travel_Rarely,HR,Technical Degree,STAFF-351,Male,Human Resources,Divorced,Yes,5,42,36-45,$544.00 ,2,High School,3,52,3,1,3,"$2,696.00 ","$24,017.00 ",0,11,3,3,1,4,3,3,2,1,0
No,0,Travel_Rarely,R&D,Medical,STAFF-352,Female,Laboratory Technician,Married,No,4,32,26-35,"$1,062.00 ",2,Bachelor's Degree,3,75,3,1,2,"$2,370.00 ","$3,956.00 ",1,13,3,3,1,8,3,8,0,0,7
No,0,Travel_Rarely,Sales,Medical,STAFF-353,Female,Manager,Married,No,3,48,46-55,$530.00 ,29,High School,1,91,3,3,3,"$12,504.00 ","$23,978.00 ",3,21,4,2,1,15,1,0,0,0,0
No,0,Travel_Rarely,R&D,Medical,STAFF-354,Male,Research Scientist,Divorced,Yes,2,37,36-45,"$1,319.00 ",6,Bachelor's Degree,3,51,4,2,1,"$5,974.00 ","$17,001.00 ",4,13,3,1,2,13,3,7,7,6,7
No,0,Non-Travel,Sales,Technical Degree,STAFF-355,Female,Sales Executive,Married,Yes,2,30,26-35,$641.00 ,25,Associates Degree,4,85,3,2,3,"$4,736.00 ","$6,069.00 ",7,12,3,2,1,4,4,2,2,2,2
No,0,Travel_Rarely,Sales,Life Sciences,STAFF-356,Male,Sales Executive,Married,No,3,26,26-35,$933.00 ,1,Bachelor's Degree,3,57,3,2,3,"$5,296.00 ","$20,156.00 ",1,17,3,2,1,8,3,8,7,7,7
No,0,Travel_Rarely,R&D,Other,STAFF-357,Male,Healthcare Representative,Single,No,6,42,36-45,"$1,332.00 ",2,Master's Degree,1,98,2,2,4,"$6,781.00 ","$17,078.00 ",3,23,4,2,0,14,3,1,0,0,0
Yes,1,Travel_Frequently,Sales,Technical Degree,STAFF-358,Female,Sales Representative,Single,Yes,3,21,18-25,$756.00 ,1,High School,1,99,2,1,2,"$2,174.00 ","$9,150.00 ",1,11,3,3,0,3,3,3,2,1,2
No,0,Non-Travel,Sales,Medical,STAFF-359,Female,Sales Executive,Single,No,6,36,36-45,$845.00 ,1,Doctoral Degree,4,45,3,2,4,"$6,653.00 ","$15,276.00 ",4,15,3,2,0,7,3,1,0,0,0
No,0,Travel_Frequently,Sales,Medical,STAFF-360,Male,Sales Executive,Married,No,2,36,36-45,$541.00 ,3,Master's Degree,1,48,2,3,4,"$9,699.00 ","$7,246.00 ",4,11,3,1,1,16,3,13,9,1,12
No,0,Travel_Rarely,R&D,Medical,STAFF-361,Male,Healthcare Representative,Married,No,2,57,56-65,$593.00 ,1,Master's Degree,4,88,3,2,3,"$6,755.00 ","$2,967.00 ",2,11,3,3,0,15,3,3,2,1,2
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-362,Female,Laboratory Technician,Married,Yes,3,40,36-45,"$1,171.00 ",10,Master's Degree,4,46,4,1,3,"$2,213.00 ","$22,495.00 ",3,13,3,3,1,10,3,7,7,1,7
No,0,Non-Travel,Sales,Medical,STAFF-363,Male,Sales Representative,Single,No,3,21,18-25,$895.00 ,9,Associates Degree,1,39,3,1,4,"$2,610.00 ","$2,851.00 ",1,24,4,3,0,3,2,3,2,2,2
Yes,1,Travel_Rarely,Sales,Marketing,STAFF-364,Female,Sales Representative,Single,Yes,2,33,26-35,$350.00 ,5,Bachelor's Degree,4,34,3,1,3,"$2,851.00 ","$9,150.00 ",1,13,3,2,0,1,3,1,0,0,0
No,0,Travel_Rarely,R&D,Medical,STAFF-365,Female,Laboratory Technician,Married,No,3,37,36-45,$921.00 ,10,Bachelor's Degree,3,98,3,1,1,"$3,452.00 ","$17,663.00 ",6,20,4,2,1,17,3,5,4,0,3
No,0,Non-Travel,R&D,Medical,STAFF-366,Female,Manufacturing Director,Married,No,2,46,46-55,"$1,144.00 ",7,Master's Degree,3,30,3,2,3,"$5,258.00 ","$16,044.00 ",2,14,3,3,0,7,4,1,0,0,0
Yes,1,Travel_Frequently,Sales,Marketing,STAFF-367,Male,Sales Executive,Single,No,5,41,36-45,$143.00 ,4,Bachelor's Degree,1,56,3,2,2,"$9,355.00 ","$9,558.00 ",1,18,3,3,0,8,3,8,7,7,7
No,0,Travel_Rarely,R&D,Technical Degree,STAFF-368,Male,Healthcare Representative,Single,No,2,50,46-55,"$1,046.00 ",10,Bachelor's Degree,4,100,2,3,4,"$10,496.00 ","$2,755.00 ",6,15,3,4,0,20,3,4,3,1,3
Yes,1,Travel_Rarely,Sales,Marketing,STAFF-369,Male,Sales Executive,Married,Yes,6,40,36-45,$575.00 ,22,Associates Degree,3,68,2,2,3,"$6,380.00 ","$6,110.00 ",2,12,3,1,2,8,3,6,4,1,0
